,latitude,longitude,Nearest City,Country Code,Noon Temp(f),Humidity,Clouds,Wind Speed,Distance From Equator
121,-9.577560910097947,27.735942517491637,nchelenge,zm,78.91,73.0,44.0,4.05,9.0
427,10.931231619369143,3.0424237303523896,kandi,bj,101.72,20.0,0.0,11.43,10.0
264,10.934739305815299,-64.51438446491758,cumana,ve,83.14,55.0,24.0,1.81,10.0
113,-10.028198623645387,123.79953801802876,kupang,id,81.52,100.0,12.0,4.61,10.0
3,-10.734625412979753,-93.91651632629114,puerto ayora,ec,77.51,100.0,48.0,17.58,10.0
67,10.675192880440875,50.02581205318964,qandala,so,86.06,28.0,0.0,14.45,10.0
103,-10.07495025707679,10.174171722957922,luanda,ao,79.94,100.0,0.0,9.42,10.0
32,10.015100408320883,120.05034779352872,osmena,ph,81.56,100.0,12.0,11.77,10.0
5,-11.974925085795107,150.091023357275,samarai,pg,81.61,100.0,24.0,1.25,11.0
129,11.280102831792497,-76.88909675700842,cartagena,co,80.57,97.0,0.0,27.87,11.0
363,-11.614970782944663,-76.79429163873617,santa eulalia,pe,50.92,90.0,36.0,2.04,11.0
309,11.871055214984395,-105.673008200699,lazaro cardenas,mx,83.54,96.0,24.0,15.01,11.0
426,-11.785959209469176,-91.49974711125236,san cristobal,ec,77.06,100.0,36.0,15.23,11.0
221,12.55197164633259,142.28727033066372,airai,pw,82.01,100.0,92.0,21.5,12.0
255,12.233070461480594,-97.94260641300197,puerto escondido,mx,83.59,95.0,0.0,9.31,12.0
301,-12.648132430976165,-36.92908135123009,conde,br,81.2,100.0,92.0,13.33,12.0
273,-12.624019339225882,-154.03265071369677,faanui,pf,82.19,100.0,20.0,14.67,12.0
175,-13.388275013047235,-30.97606108816281,maceio,br,80.39,100.0,8.0,12.77,13.0
346,13.6122473915769,10.720790144939286,goure,ne,103.84,19.0,0.0,7.29,13.0
382,14.209327471575932,-52.374691800252,bathsheba,bb,76.84,100.0,56.0,17.13,14.0
256,14.388045140416935,-32.86857489752567,porto novo,cv,73.42,100.0,0.0,16.91,14.0
445,-14.5557709234918,23.50398854480332,lukulu,zm,85.97,55.0,0.0,8.3,14.0
435,-14.464408922225081,-84.18490593510215,hualmay,pe,73.37,100.0,92.0,13.67,14.0
247,-14.120562651901507,14.430894637626068,caluquembe,ao,76.7,93.0,32.0,3.6,14.0
40,-14.796662537113548,36.16198542135592,cuamba,mz,79.36,75.0,8.0,3.49,14.0
437,14.170045515311266,112.17232045685924,qui nhon,vn,78.82,100.0,92.0,16.13,14.0
183,15.062619309094543,-69.10222969233511,westpunt,an,79.81,98.0,92.0,16.69,15.0
165,-15.414152827011186,-149.84072394279139,fare,pf,81.61,100.0,92.0,16.02,15.0
77,15.882890589249932,102.34375397507398,kaeng khlo,th,77.33,74.0,48.0,2.71,15.0
491,15.631281294057274,107.40820824134678,hue,vn,73.73,78.0,0.0,1.92,15.0
76,-15.415508884489915,9.022655929438656,namibe,ao,74.27,100.0,0.0,9.64,15.0
130,16.209282888740468,-18.59612587285101,dakar,sn,70.54,94.0,0.0,10.76,16.0
408,-16.94076758341,-175.16202585451887,hihifo,to,76.25,100.0,100.0,9.64,16.0
138,-16.92042549500302,-177.99113007541104,halalo,wf,75.04,100.0,92.0,9.75,16.0
265,16.92684538171833,-42.68526244730535,cayenne,gf,74.9,100.0,20.0,17.92,16.0
455,16.533375813941028,72.20746814635295,ratnagiri,in,83.54,100.0,32.0,7.96,16.0
391,-16.92860743509507,-38.98003921141066,prado,br,78.95,100.0,80.0,13.11,16.0
311,16.039456998576384,72.97821207661248,malwan,in,83.54,100.0,32.0,7.96,16.0
94,-16.736678874952304,55.045943529186616,grand baie,mu,81.02,100.0,0.0,4.94,16.0
345,17.564889276765612,-90.6725508679382,san carlos,mx,83.18,62.0,44.0,8.3,17.0
23,17.78169857751321,95.89089617640919,letpadan,mm,74.18,86.0,0.0,6.62,17.0
120,-17.257762150347745,-61.879020966114325,santa rosa,bo,64.28,84.0,92.0,5.73,17.0
320,-17.7974809769342,146.09384860151278,innisfail,au,76.79,100.0,88.0,8.75,17.0
401,18.758139236536167,85.11889881977255,gopalpur,in,82.91,97.0,0.0,12.33,18.0
185,18.320361676375796,68.556075999788,veraval,in,82.51,93.0,56.0,12.88,18.0
347,-18.25677165692963,145.97022847223036,ingham,au,69.82,98.0,68.0,8.86,18.0
419,18.62210559914333,128.26526783686222,dicabisagan,ph,76.52,100.0,92.0,21.94,18.0
400,18.5316574178062,38.66634561933924,tawkar,sd,94.07,18.0,0.0,12.66,18.0
75,-18.26394664029711,-166.9959930164737,alofi,nu,78.5,100.0,88.0,2.93,18.0
39,18.765994851308776,-139.90240236378588,hilo,us,75.89,99.0,92.0,23.51,18.0
66,18.17503611211245,-123.9723473395369,guerrero negro,mx,71.17,100.0,44.0,24.29,18.0
210,18.100430669755617,-158.75850939246925,ewa beach,us,71.75,100.0,68.0,6.06,18.0
102,-18.841793423387408,-87.00879611301717,pisco,pe,70.4,100.0,88.0,15.79,18.0
194,18.555534953131968,90.76692768790097,akyab,mm,82.91,98.0,0.0,8.52,18.0
50,-19.915808080033266,88.37797337755335,bengkulu,id,76.7,100.0,0.0,20.27,19.0
354,19.94613507155716,-100.05921298674414,temascalcingo,mx,65.54,45.0,8.0,2.93,19.0
274,-19.3125922534997,-41.98896497647249,inhapim,br,80.66,70.0,20.0,4.38,19.0
122,19.750081927082434,167.23150268468254,butaritari,ki,75.44,100.0,36.0,14.0,19.0
59,-19.120173033125027,126.55055812470415,kununurra,au,85.97,26.0,0.0,11.99,19.0
86,19.291879529328,82.18234482932459,kotaparh,in,74.54,25.0,0.0,7.4,19.0
193,19.311748969626137,53.681841158116285,salalah,om,90.97,16.0,0.0,5.95,19.0
390,20.15515461747617,-107.24120968739516,bucerias,mx,73.64,100.0,0.0,5.17,20.0
58,20.824084343605513,-31.94330873932872,ponta do sol,cv,69.37,100.0,80.0,15.35,20.0
453,20.43169732977882,-73.93431618037935,baracoa,cu,79.58,78.0,32.0,15.79,20.0
383,20.178042037092816,74.02913476905802,ojhar,in,78.14,31.0,8.0,5.73,20.0
21,-20.732802714168038,-150.83539888251553,moerai,pf,80.44,100.0,48.0,15.9,20.0
131,20.0166503510144,69.34257130853847,mangrol,in,83.09,90.0,0.0,13.44,20.0
41,-21.882930619048444,169.0587027613371,tadine,nc,81.65,99.0,92.0,24.52,21.0
176,-21.041514756431187,70.86493309270269,grand river south east,mu,79.13,100.0,88.0,24.52,21.0
463,21.32208538284543,38.66424684861161,jiddah,sa,80.03,100.0,0.0,4.94,21.0
329,21.052514928767927,111.6908226004096,mata,cn,71.84,97.0,0.0,8.19,21.0
392,21.41275568718015,80.33983689544235,balaghat,in,75.26,54.0,0.0,2.71,21.0
372,21.608685158468866,-93.13330091577572,celestun,mx,78.01,95.0,0.0,25.86,21.0
337,-22.814128744727117,-43.92226125639972,itaguai,br,79.09,70.0,0.0,3.71,22.0
68,-22.512336641222323,92.42428286147695,labuhan,id,74.54,100.0,56.0,21.83,22.0
49,-22.6501877614215,49.607950044779315,manakara,mg,79.27,100.0,44.0,9.53,22.0
328,-22.80259422222496,47.92801796266427,farafangana,mg,74.36,52.0,8.0,2.93,22.0
237,22.99253602813407,-106.68606804799215,mazatlan,mx,72.2,100.0,0.0,5.84,22.0
147,22.062621145245316,-127.0163182986114,san quintin,mx,66.8,100.0,36.0,25.08,22.0
192,23.993542623259756,-71.58910016248281,cockburn harbour,tc,72.97,100.0,48.0,20.6,23.0
464,23.17120772939478,133.92458567306892,naze,jp,75.35,100.0,92.0,24.4,23.0
373,23.65536038914736,12.388725185041238,gat,ly,81.65,13.0,0.0,12.77,23.0
95,23.685974443448814,160.48638358042015,hasaki,jp,74.36,100.0,80.0,11.43,23.0
203,-24.350464047420438,113.74887125187828,carnarvon,au,80.66,100.0,0.0,22.84,24.0
499,24.425801601850743,3.2396400035875104,tessalit,ml,83.14,11.0,0.0,15.01,24.0
374,24.108422566742185,94.54834841699743,mawlaik,mm,65.63,88.0,48.0,1.59,24.0
219,24.37763223763426,-105.81270763492087,tayoltita,mx,57.53,30.0,0.0,6.51,24.0
318,-24.51171476084986,-67.47793319012821,salta,ar,48.08,43.0,0.0,2.71,24.0
149,-24.828565223195532,142.66148153728173,mount isa,au,77.96,51.0,32.0,11.1,24.0
104,24.350941766675156,148.3784040316148,katsuura,jp,75.04,100.0,88.0,20.6,24.0
4,25.107179116021527,34.769791892884854,safaga,eg,86.6,19.0,80.0,11.43,25.0
498,25.99937360856439,-130.99280492785078,lompoc,us,64.01,100.0,64.0,22.73,25.0
454,25.785454355402074,58.30817417664986,minab,ir,80.39,90.0,0.0,12.33,25.0
57,26.163284663694995,-78.91115042325364,freeport,bs,71.26,100.0,0.0,23.85,26.0
482,26.65327056153736,118.5886790295109,zhicheng,cn,55.28,86.0,12.0,1.25,26.0
13,-26.61714457822001,23.648765504952095,kuruman,za,89.21,23.0,0.0,7.4,26.0
202,26.05441716255074,52.249040246948695,khor,qa,76.66,92.0,0.0,7.18,26.0
364,27.80836563109007,-20.67692553979154,los llanos de aridane,es,66.53,100.0,44.0,18.03,27.0
48,27.236995448880194,-79.6330429153633,hobe sound,us,70.72,100.0,8.0,23.06,27.0
140,27.950265419022266,137.1695543713079,shingu,jp,68.42,100.0,12.0,17.47,27.0
167,-28.793133716026652,176.14910690758074,kaeo,nz,74.54,100.0,92.0,18.7,28.0
291,-29.59331279583334,-62.47663473405852,san francisco,ar,68.96,91.0,44.0,4.94,29.0
480,29.785614567906315,-119.61287135663994,maneadero,mx,60.5,100.0,0.0,18.48,29.0
22,-29.346945481095673,-25.86001814536084,vila velha,br,74.72,100.0,0.0,11.43,29.0
384,31.892003165589134,-61.06779491111759,saint george,bm,65.81,100.0,36.0,16.8,31.0
124,31.09833280996498,-29.124141376677596,ribeira grande,pt,66.26,100.0,92.0,16.24,31.0
315,-31.08314689985726,-75.52905630296081,coquimbo,cl,64.42,100.0,0.0,21.39,31.0
234,-31.136233421139103,-64.4323071915412,villa carlos paz,ar,68.87,36.0,56.0,7.74,31.0
407,-31.396709595593776,144.52512750447346,broken hill,au,51.86,59.0,0.0,3.71,31.0
189,-31.875050589474803,-75.8503892976435,valparaiso,cl,64.42,100.0,0.0,21.39,31.0
297,-31.25453354999636,-61.276035796961395,rafaela,ar,70.13,53.0,80.0,4.61,31.0
298,-31.599851838162905,-52.639726674048006,cangucu,br,73.24,75.0,92.0,15.01,31.0
235,-31.509882112465682,42.13336885207676,beloha,mg,72.74,100.0,0.0,20.6,31.0
316,-31.033163991450486,-55.44491209447061,rivera,uy,73.28,84.0,0.0,15.46,31.0
190,-31.24563280438742,-51.43880615061466,sao lourenco do sul,br,75.17,82.0,64.0,18.03,31.0
450,-31.804554289723896,-70.61167955008011,salamanca,cl,34.67,89.0,0.0,1.48,31.0
146,-31.508063180909986,152.89253233981134,port macquarie,au,54.74,92.0,68.0,2.26,31.0
433,-31.635655938275725,24.86411546112383,middelburg,za,83.09,15.0,0.0,11.21,31.0
281,-31.39855850591219,114.24275111234877,perth,au,68.6,100.0,0.0,15.68,31.0
442,-31.173433561445584,19.57995500704955,calvinia,za,88.49,18.0,0.0,9.31,31.0
342,-31.54423951819434,-63.98987234246796,cordoba,ar,68.02,62.0,92.0,5.17,31.0
352,-31.233199457229702,-56.90643057043165,artigas,uy,69.05,88.0,76.0,12.77,31.0
262,-31.49145316319065,-53.14957462930646,pinheiro machado,br,70.85,79.0,92.0,13.89,31.0
414,-31.553080641430945,-67.03824647580932,san juan,ar,69.64,39.0,0.0,10.76,31.0
271,-31.497477510279005,-51.00434233184498,tapes,br,75.17,82.0,64.0,18.03,31.0
468,-31.28015211296158,-73.42345307868278,illapel,cl,64.19,98.0,0.0,21.39,31.0
497,-32.41981220773405,148.9839828171132,wellington,au,64.46,71.0,0.0,11.1,32.0
411,32.42688908374094,-107.8300366641448,deming,us,48.71,72.0,88.0,3.6,32.0
